squareMeters,floors,hasYard,hasPool,cityPartRange_10
81531,2,0,1,0
78731,79,0,0,0
78004,96,1,1,1
15727,55,1,0,0
3190,95,0,0,0
28605,25,0,1,0
96815,59,1,1,0
20795,74,0,1,1
82395,22,1,1,0
34668,12,1,1,0
14137,50,1,1,0
41488,59,0,0,0
93803,38,0,1,0
14011,59,0,1,0
77337,68,0,0,0
27612,29,1,1,0
6459,61,1,0,0
29835,97,0,1,0
90777,8,0,0,1
73838,63,1,1,0
65273,29,0,1,1
20375,4,1,0,0
5849,43,0,0,0
8300,72,0,1,0
70380,49,0,1,0
55485,14,1,0,1
15815,2,1,1,0
61152,34,1,0,0
93734,62,1,1,0
84747,86,0,1,0
32599,67,0,0,0
14142,13,0,0,0
96309,25,1,1,0
59109,21,0,1,0
76420,63,1,0,0
11657,21,0,1,0
24859,60,1,0,0
38392,41,0,0,0
66612,9,0,1,1
17040,55,1,0,0
54847,39,1,1,0
21459,85,0,1,0
59413,6,0,0,0
34291,37,0,1,0
26061,27,0,0,0
28446,61,1,1,0
39661,83,0,0,0
76097,51,0,1,0
17723,82,1,1,0
49588,75,0,0,0
66592,92,1,0,0
21293,40,0,1,0
21413,72,1,1,0
84235,74,0,0,0
52952,36,1,1,0
67391,23,1,1,0
2632,35,0,0,0
15542,27,0,0,0
6547,20,0,0,0
38765,56,0,1,0
95375,37,1,1,0
63871,91,1,0,0
67761,5,1,1,0
73136,88,1,0,0
16842,49,1,0,0
48926,52,0,1,0
83088,64,0,0,0
1344,56,0,0,0
39170,41,1,1,0
49411,8,0,1,1
43412,68,1,1,0
14345,99,1,1,0
88548,3,1,1,0
31995,1,1,0,0
54245,15,0,1,0
75340,27,1,1,0
75524,56,0,0,0
41926,89,1,0,0
70990,51,1,1,1
46988,27,1,1,0
25897,92,1,0,0
39631,16,0,0,0
88554,26,1,0,0
31239,77,0,0,0
56701,36,1,1,0
17012,6,0,0,1
98799,42,1,0,0
27924,81,1,1,0
13254,58,1,0,0
78180,46,1,1,0
83698,13,1,0,0
66570,2,0,0,0
61847,96,0,0,0
80039,45,1,1,0
13972,8,0,0,0
8493,71,0,1,0
18221,94,1,0,0
77075,11,1,0,1
96923,2,1,0,0
22811,50,1,0,0
47559,66,0,0,0
77566,21,1,0,0
40705,52,1,1,1
93656,8,0,1,0
2985,12,1,0,0
68847,30,0,0,0
29917,39,1,1,0
33692,69,1,1,0
76045,4,0,0,1
73196,48,0,1,0
82377,66,0,1,0
63342,86,1,1,0
39109,67,1,0,0
80671,6,0,0,0
36705,23,0,1,0
35216,67,0,1,0
46695,78,1,1,0
52680,79,0,1,0
44565,40,1,0,0
52915,97,1,0,0
70494,98,1,1,0
56223,31,1,1,0
79380,50,0,1,0
86619,2,1,1,0
43788,82,1,1,0
88036,16,0,0,0
40101,68,1,1,0
13603,66,1,1,0
65001,37,1,0,0
3155,16,1,1,0
44561,72,0,0,0
10359,3,1,1,0
23177,52,0,0,0
36945,31,0,0,0
59288,8,0,1,0
